"Time","bodyDrive.phi","prismatic.s","prismatic.v","revoluteDisc.phi","revoluteDisc.w","revoluteDrive.w"
0,0,-1.1000000000000001,-2.7755575615628909e-16,0,3.4374999999999996,-2.4999999999999996
0.002,-0.0049998639840523268,-1.0999948440488223,0.005155744237058636,0.006874806264750434,3.437270650204455,-2.4998405235058283
0.0040000000000000001,-0.0099989851674112621,-1.0999793794785762,0.010308531430599779,0.013748550910532314,3.4365831578544594,-2.49936248923684
0.0060000000000000001,-0.014996815374642574,-1.0999536149334181,0.015455612873114696,0.020620439980612137,3.43543875629685,-2.498566766205756
0.0080000000000000002,-0.019992738901343485,-1.0999175645698747,0.020594184870823422,0.027489586767399918,3.4338394863196466,-2.4974547924715904
0.01,-0.024986170628885269,-1.0998712477347961,0.025721496878148311,0.034355146766332695,3.4317881698527382,-2.4960285566238651
0.012,-0.029976503399933879,-1.0998146892917944,0.030834803194625802,0.041216245367137846,3.4292882935165063,-2.4942905128313786
0.014,-0.034963077991354827,-1.0997479202690819,0.035931344254658576,0.048071936624692543,3.4263445780311677,-2.4922439943560439
0.016,-0.039945274553779352,-1.0996709768733532,0.041008435023001583,0.054921329028582842,3.4229616387364032,-2.4898922410013533
0.018000000000000002,-0.044922470750645122,-1.0995839008429853,0.04606344592954667,0.061763527996390295,3.419145748822269,-2.4872396815089619
0.02,-0.049894063991835068,-1.0994867389960323,0.051093817102693055,0.068597666485436679,3.4149033736966059,-2.4842908685729537
0.021999999999999999,-0.054859459714086352,-1.0993795432705582,0.0560970558080017,0.075422888924078335,3.4102416061882619,-2.4810507957907224
0.024,-0.059818095099837237,-1.0992623700333264,0.061070780291537882,0.082238383854166652,3.405168955582762,-2.4775254732317515
0.026000000000000002,-0.064769388968322072,-1.0991352810669346,0.066012636545499284,0.08904331509477123,3.3996931185852262,-2.4737203048881904
0.028000000000000001,-0.069712800125967367,-1.0989983420527332,0.070920407954404352,0.095836901980598174,3.3938236335280356,-2.4696420224658224
0.029999999999999999,-0.074647785097597508,-1.0988516234341283,0.075791941315888803,0.1026183613008525,3.3875698673622829,-2.4652972201807777
0.032000000000000001,-0.079573818681736797,-1.0986951997348742,0.080625188962799965,0.10938693558311241,3.3809419374436342,-2.4606930270458398
0.034000000000000002,-0.084490391857949793,-1.0985291494142153,0.08541819676001762,0.11614189024605269,3.3739500899050294,-2.4558366553472619
0.036000000000000004,-0.089397008807979877,-1.0983535547794054,0.090169114426285765,0.12288250953393445,3.366605152272848,-2.4507357308144209
0.037999999999999999,-0.094293188578320239,-1.0981685017535281,0.0948761959765487,0.12960809882667301,3.3589183320304419,-2.4453981470358208
0.040000000000000001,-0.099178465926098414,-1.0979740796561444,0.099537800040579605,0.13631798582474358,3.3509011022956634,-2.4398319832189372
0.042000000000000003,-0.10405239052616616,-1.0977703810437065,0.10415239396982592,0.14301151948062205,3.3425652970881425,-2.4340455744489611
0.043999999999999997,-0.10891452587491739,-1.0975575015729999,0.10871855962933312,0.14968806851234923,3.3339232443820288,-2.4280476094954215
0.045999999999999999,-0.11376446057475569,-1.0973355392988204,0.11323496885924063,0.15634703691365623,3.3249866164990181,-2.4218462952302255
0.048000000000000001,-0.11860179759971676,-1.0971045949111549,0.11770040575105242,0.16298784922381329,3.3157675012568348,-2.415450136859381
0.050000000000000003,-0.12342615124677718,-1.0968647717108049,0.12211377745215257,0.16960994635535881,3.3062787027390947,-2.4088681578417441
0.052000000000000005,-0.12823716131817903,-1.096616174714087,0.12647406809160786,0.17621280507034942,3.2965320523925663,-2.4021086713806361
0.053999999999999999,-0.13303448181729621,-1.0963589109834659,0.13078037942376658,0.18279592246655638,3.2865398990896564,-2.395180365944988
0.056000000000000001,-0.13781778216331914,-1.0960930893841201,0.13503192814469356,0.18935881764976148,3.2763149377548104,-2.3880921815006437
0.058000000000000003,-0.14258675197060883,-1.0958188201188457,0.13922799600112523,0.19590103829230215,3.2658688865968712,-2.3808523465651921
0.059999999999999998,-0.14734109704996226,-1.0955362147391172,0.14336798596588371,0.20242215514408021,3.2552140238425933,-2.3734694986226303
0.062,-0.15208054048860717,-1.0952453858875146,0.14745140302617002,0.20892176351093134,3.2443626704742519,-2.365952308088572
0.064000000000000001,-0.15680482003479815,-1.0949464472666379,0.15147780417586593,0.21539947966293499,3.2333261865520964,-2.3583087468175479
0.066000000000000003,-0.16151369278199326,-1.0946395131568631,0.15544686949495756,0.22185494725066693,3.2221165069597304,-2.3505472089581825
0.068000000000000005,-0.16620693256480046,-1.094324698378212,0.15935836446105517,0.22828783372383982,3.2107453688444649,-2.3426759481362165
0.070000000000000007,-0.17088432349180285,-1.0940021185539341,0.16321209233783013,0.2346978214581297,3.1992235424069628,-2.3347025160690373
0.072000000000000008,-0.17554567227487608,-1.0936718890995547,0.16700797989323021,0.24108462464199948,3.1875623873010355,-2.3266348997224608
0.073999999999999996,-0.1801908000439825,-1.0933341255859632,0.17074601878181508,0.24744797804247312,3.1757728487378807,-2.3184807887295231
0.075999999999999998,-0.18481953731256867,-1.092988943958707,0.1744262424535771,0.25378763009668276,3.1638651916582599,-2.3102473810902797
0.078,-0.18943173527817056,-1.0926364595514677,0.17804877679654546,0.26010335837666237,3.151849807521296,-2.3019419735957225
0.080000000000000002,-0.19402725780282604,-1.0922767875061012,0.18161380083989015,0.26639495858581541,3.1397366661388535,-2.2935715612681737
0.082000000000000003,-0.19860597984654382,-1.0919100427607349,0.18512154937895575,0.27266224239922365,3.127535447394151,-2.2851429336306563
0.084000000000000005,-0.20316779251529962,-1.0915363395088951,0.18857231064224658,0.27890504435639785,3.1152554725149719,-2.2766626252831608
0.086000000000000007,-0.20771259893261074,-1.0911557913821763,0.19196642226644625,0.28512321619005632,3.1029057540422729,-2.2681369521923167
0.087999999999999995,-0.21224031391991044,-1.0907685113506482,0.19530427771991196,0.29131662637043237,3.0904951481796217,-2.2595721232354458
0.089999999999999997,-0.21675086507363031,-1.0903746115053166,0.1985863024972257,0.2974851615589495,3.0780319999727084,-2.2509739811339626
0.091999999999999998,-0.22124419136694806,-1.0899742030537019,0.20181296611585786,0.30362872467474039,3.0655244090113323,-2.2423481966247434
0.094,-0.22572024311430189,-1.0895673962072103,0.20498478321359032,0.30974723482536515,3.0529802824504535,-2.233700307412172
0.096000000000000002,-0.23017898123860989,-1.0891543001359247,0.2081022932273906,0.31584062628380749,3.0404070778606647,-2.225035530080643
0.098000000000000004,-0.23462037704736877,-1.0887350228844439,0.21116606999547033,0.32190884816118986,3.0278119969169186,-2.2163589017810632
0.10000000000000001,-0.23904441170591911,-1.0883096713211855,0.21417671748042744,0.32795186366548673,3.015201965719041,-2.2076752658350265
0.10200000000000001,-0.24345107596779508,-1.0878783510694969,0.21713486233928922,0.33396964971155013,3.0025835700138512,-2.1989892242957372
0.10400000000000001,-0.24784036952029895,-1.0874411664818595,0.22004115456982148,0.3399621960057051,2.9899631110302005,-2.1903051787193473
0.106,-0.25221230048656534,-1.0869982206064359,0.22289626417833877,0.34592950434460351,2.9773466000199464,-2.1816273260784986
0.108,-0.25656688536664313,-1.0865496151146243,0.22570087717426041,0.35187158851350814,2.9647397390094232,-2.1729596445965251
0.11,-0.26090414850661525,-1.086095450280484,0.22845569700827087,0.35778847354037502,2.9521479786086715,-2.1643059359702677
0.112,-0.265224121783454,-1.0856358249438229,0.23116144262444882,0.36368019524474854,2.9395765243340182,-2.155669829909856
0.114,-0.26952684379188951,-1.0851708365320363,0.23381883967629793,0.36954679910798072,2.9270302616107062,-2.1470547289484343
0.11600000000000001,-0.27381235976903939,-1.0847005810097867,0.23642862395577324,0.37538834015033373,2.9145138299524818,-2.1384638626954668
0.11800000000000001,-0.27808072108742932,-1.0842251528790496,0.23899153786670471,0.38120488221980331,2.9020316099832977,-2.1299002781346164
